TMD:	 WSe2 

band  1
-0.64311884 	 -0.43527052
-0.64008414 	 -0.43469161
-0.63704944 	 -0.43427598
-0.63401474 	 -0.43402325
-0.63098004 	 -0.43393382
-0.62794534 	 -0.43400877
-0.62491064 	 -0.43424986
-0.62187593 	 -0.43465948
-0.61884123 	 -0.43524058
-0.61580653 	 -0.43599657
-0.61277183 	 -0.43693121
-0.60973713 	 -0.43804850
-0.60670243 	 -0.43935252
-0.60366773 	 -0.44084730
-0.60063303 	 -0.44253662
-0.59759833 	 -0.44442385
-0.59456363 	 -0.44651181
-0.59152893 	 -0.44880257
-0.58849423 	 -0.45129734
-0.58545952 	 -0.45399632
-0.58242482 	 -0.45689867
-0.57939012 	 -0.46000238
-0.57635542 	 -0.46330435
-0.57332072 	 -0.46680032
-0.57028602 	 -0.47048502
-0.56725132 	 -0.47435219
-0.56421662 	 -0.47839474
-0.56118192 	 -0.48260487
-0.55814722 	 -0.48697421
-0.55511252 	 -0.49149393
-0.55207782 	 -0.49615495
-0.54904311 	 -0.50094802
-0.54600841 	 -0.50586383
-0.54297371 	 -0.51089315
-0.53993901 	 -0.51602689
-0.53690431 	 -0.52125620
-0.53386961 	 -0.52657248
-0.53083491 	 -0.53196748
-0.52780021 	 -0.53743329
-0.52476551 	 -0.54296238
-0.52173081 	 -0.54854759
-0.51869611 	 -0.55418218
-0.51566141 	 -0.55985978
-0.51262670 	 -0.56557440
-0.50959200 	 -0.57132044
-0.50655730 	 -0.57709263
-0.50352260 	 -0.58288609
-0.50048790 	 -0.58869623
-0.49745320 	 -0.59451879
-0.49441850 	 -0.60034980
-0.49138380 	 -0.60618560
-0.48834910 	 -0.61202276
-0.48531440 	 -0.61785810
-0.48227970 	 -0.62368871
-0.47924500 	 -0.62951187
-0.47621029 	 -0.63532506
-0.47317559 	 -0.64112598
-0.47014089 	 -0.64691249
-0.46710619 	 -0.65268263
-0.46407149 	 -0.65843460
-0.46103679 	 -0.66416675
-0.45800209 	 -0.66987754
-0.45496739 	 -0.67556562
-0.45193269 	 -0.68122971
-0.44889799 	 -0.68686866
-0.44586329 	 -0.69248146
-0.44282859 	 -0.69806715
-0.43979388 	 -0.70362491
-0.43675918 	 -0.70915399
-0.43372448 	 -0.71465374
-0.43068978 	 -0.72012356
-0.42765508 	 -0.72556297
-0.42462038 	 -0.73097154
-0.42158568 	 -0.73634889
-0.41855098 	 -0.74169476
-0.41551628 	 -0.74700890
-0.41248158 	 -0.75229114
-0.40944688 	 -0.75754137
-0.40641218 	 -0.76275953
-0.40337747 	 -0.76794563
-0.40034277 	 -0.77309969
-0.39730807 	 -0.77822183
-0.39427337 	 -0.78331217
-0.39123867 	 -0.78837091
-0.38820397 	 -0.79339827
-0.38516927 	 -0.79839454
-0.38213457 	 -0.80336002
-0.37909987 	 -0.80829507
-0.37606517 	 -0.81320009
-0.37303047 	 -0.81807552
-0.36999576 	 -0.82292182
-0.36696106 	 -0.82773952
-0.36392636 	 -0.83252915
-0.36089166 	 -0.83729132
-0.35785696 	 -0.84202663
-0.35482226 	 -0.84673576
-0.35178756 	 -0.85141941
-0.34875286 	 -0.85607829
-0.34571816 	 -0.86071320
-0.34268346 	 -0.86532493
-0.33964876 	 -0.86991433
-0.33661406 	 -0.87448229
-0.33357935 	 -0.87902972
-0.33054465 	 -0.88355759
-0.32750995 	 -0.88806689
-0.32447525 	 -0.89255866
-0.32144055 	 -0.89703398
-0.31840585 	 -0.90149396
-0.31537115 	 -0.90593977
-0.31233645 	 -0.91037260
-0.30930175 	 -0.91479370
-0.30626705 	 -0.91920435
-0.30323235 	 -0.92360589
-0.30019765 	 -0.92799970
-0.29716294 	 -0.93238719
-0.29412824 	 -0.93676984
-0.29109354 	 -0.94114916
-0.28805884 	 -0.94552673
-0.28502414 	 -0.94990417
-0.28198944 	 -0.95428314
-0.27895474 	 -0.95866538
-0.27592004 	 -0.96305265
-0.27288534 	 -0.96744679
-0.26985064 	 -0.97184970
-0.26681594 	 -0.97626331
-0.26378124 	 -0.98068963
-0.26074653 	 -0.98513074
-0.25771183 	 -0.98958874
-0.25467713 	 -0.99406583
-0.25164243 	 -0.99856427
-0.24860773 	 -1.00308635
-0.24557303 	 -1.00763447
-0.24253833 	 -1.01221107
-0.23950363 	 -1.01681864
-0.23646893 	 -1.02145978
-0.23343423 	 -1.02613712
-0.23039953 	 -1.03085338
-0.22736483 	 -1.03561134
-0.22433012 	 -1.04041383
-0.22129542 	 -1.04526379
-0.21826072 	 -1.05016420
-0.21522602 	 -1.05511810
-0.21219132 	 -1.06012863
-0.20915662 	 -1.06519896
-0.20612192 	 -1.07033235
-0.20308722 	 -1.07553212
-0.20005252 	 -1.08080165
-0.19701782 	 -1.08614440
-0.19398312 	 -1.09156386
-0.19094842 	 -1.09706360
-0.18791371 	 -1.10264725
-0.18487901 	 -1.10831848
-0.18184431 	 -1.11408102
-0.17880961 	 -1.11993865
-0.17577491 	 -1.12589519
-0.17274021 	 -1.13195450
-0.16970551 	 -1.13812049
-0.16667081 	 -1.14439710
-0.16363611 	 -1.15078830
-0.16060141 	 -1.15729807
-0.15756671 	 -1.16393045
-0.15453201 	 -1.17068945
-0.15149730 	 -1.17757912
-0.14846260 	 -1.18460352
-0.14542790 	 -1.19176670
-0.14239320 	 -1.19907269
-0.13935850 	 -1.20652555
-0.13632380 	 -1.21412929
-0.13328910 	 -1.22188791
-0.13025440 	 -1.22980539
-0.12721970 	 -1.23788567
-0.12418500 	 -1.24613266
-0.12115030 	 -1.25455020
-0.11811560 	 -1.26314212
-0.11508089 	 -1.27191216
-0.11204619 	 -1.28086402
-0.10901149 	 -1.29000134
-0.10597679 	 -1.29932766
-0.10294209 	 -1.30884648
-0.09990739 	 -1.31856119
-0.09687269 	 -1.32847511
-0.09383799 	 -1.33859148
