TMD:	 WS2 

band  1
-1.31988486 	 -1.03921510
-1.31660157 	 -1.03911672
-1.31331827 	 -1.03933551
-1.31003498 	 -1.03986812
-1.30675168 	 -1.04071083
-1.30346838 	 -1.04185956
-1.30018509 	 -1.04330994
-1.29690179 	 -1.04505725
-1.29361850 	 -1.04709650
-1.29033520 	 -1.04942241
-1.28705191 	 -1.05202946
-1.28376861 	 -1.05491190
-1.28048531 	 -1.05806375
-1.27720202 	 -1.06147888
-1.27391872 	 -1.06515096
-1.27063543 	 -1.06907353
-1.26735213 	 -1.07324001
-1.26406884 	 -1.07764372
-1.26078554 	 -1.08227791
-1.25750224 	 -1.08713574
-1.25421895 	 -1.09221036
-1.25093565 	 -1.09749488
-1.24765236 	 -1.10298241
-1.24436906 	 -1.10866606
-1.24108577 	 -1.11453898
-1.23780247 	 -1.12059434
-1.23451917 	 -1.12682536
-1.23123588 	 -1.13322535
-1.22795258 	 -1.13978764
-1.22466929 	 -1.14650569
-1.22138599 	 -1.15337302
-1.21810270 	 -1.16038325
-1.21481940 	 -1.16753011
-1.21153610 	 -1.17480743
-1.20825281 	 -1.18220915
-1.20496951 	 -1.18972933
-1.20168622 	 -1.19736214
-1.19840292 	 -1.20510189
-1.19511963 	 -1.21294300
-1.19183633 	 -1.22088000
-1.18855304 	 -1.22890757
-1.18526974 	 -1.23702050
-1.18198644 	 -1.24521370
-1.17870315 	 -1.25348221
-1.17541985 	 -1.26182121
-1.17213656 	 -1.27022597
-1.16885326 	 -1.27869189
-1.16556997 	 -1.28721452
-1.16228667 	 -1.29578947
-1.15900337 	 -1.30441252
-1.15572008 	 -1.31307953
-1.15243678 	 -1.32178649
-1.14915349 	 -1.33052947
-1.14587019 	 -1.33930468
-1.14258690 	 -1.34810842
-1.13930360 	 -1.35693709
-1.13602030 	 -1.36578718
-1.13273701 	 -1.37465529
-1.12945371 	 -1.38353812
-1.12617042 	 -1.39243245
-1.12288712 	 -1.40133514
-1.11960383 	 -1.41024316
-1.11632053 	 -1.41915355
-1.11303723 	 -1.42806343
-1.10975394 	 -1.43697002
-1.10647064 	 -1.44587060
-1.10318735 	 -1.45476252
-1.09990405 	 -1.46364322
-1.09662076 	 -1.47251020
-1.09333746 	 -1.48136105
-1.09005416 	 -1.49019339
-1.08677087 	 -1.49900495
-1.08348757 	 -1.50779349
-1.08020428 	 -1.51655685
-1.07692098 	 -1.52529293
-1.07363769 	 -1.53399967
-1.07035439 	 -1.54267509
-1.06707109 	 -1.55131726
-1.06378780 	 -1.55992430
-1.06050450 	 -1.56849439
-1.05722121 	 -1.57702575
-1.05393791 	 -1.58551666
-1.05065462 	 -1.59396544
-1.04737132 	 -1.60237047
-1.04408803 	 -1.61073017
-1.04080473 	 -1.61904300
-1.03752143 	 -1.62730747
-1.03423814 	 -1.63552214
-1.03095484 	 -1.64368560
-1.02767155 	 -1.65179648
-1.02438825 	 -1.65985346
-1.02110496 	 -1.66785527
-1.01782166 	 -1.67580064
-1.01453836 	 -1.68368837
-1.01125507 	 -1.69151729
-1.00797177 	 -1.69928627
-1.00468848 	 -1.70699420
-1.00140518 	 -1.71464001
-0.99812189 	 -1.72222268
-0.99483859 	 -1.72974120
-0.99155529 	 -1.73719460
-0.98827200 	 -1.74458195
-0.98498870 	 -1.75190235
-0.98170541 	 -1.75915491
-0.97842211 	 -1.76633879
-0.97513882 	 -1.77345318
-0.97185552 	 -1.78049729
-0.96857222 	 -1.78747035
-0.96528893 	 -1.79437165
-0.96200563 	 -1.80120046
-0.95872234 	 -1.80795612
-0.95543904 	 -1.81463796
-0.95215575 	 -1.82124537
-0.94887245 	 -1.82777773
-0.94558915 	 -1.83423447
-0.94230586 	 -1.84061504
-0.93902256 	 -1.84691890
-0.93573927 	 -1.85314554
-0.93245597 	 -1.85929447
-0.92917268 	 -1.86536524
-0.92588938 	 -1.87135739
-0.92260609 	 -1.87727051
-0.91932279 	 -1.88310419
-0.91603949 	 -1.88885804
-0.91275620 	 -1.89453171
-0.90947290 	 -1.90012484
-0.90618961 	 -1.90563711
-0.90290631 	 -1.91106822
-0.89962302 	 -1.91641786
-0.89633972 	 -1.92168576
-0.89305642 	 -1.92687166
-0.88977313 	 -1.93197531
-0.88648983 	 -1.93699649
-0.88320654 	 -1.94193497
-0.87992324 	 -1.94679056
-0.87663995 	 -1.95156306
-0.87335665 	 -1.95625229
-0.87007335 	 -1.96085809
-0.86679006 	 -1.96538029
-0.86350676 	 -1.96981877
-0.86022347 	 -1.97417336
-0.85694017 	 -1.97844396
-0.85365688 	 -1.98263043
-0.85037358 	 -1.98673266
-0.84709028 	 -1.99075055
-0.84380699 	 -1.99468399
-0.84052369 	 -1.99853287
-0.83724040 	 -2.00229712
-0.83395710 	 -2.00597663
-0.83067381 	 -2.00957131
-0.82739051 	 -2.01308108
-0.82410721 	 -2.01650583
-0.82082392 	 -2.01984549
-0.81754062 	 -2.02309995
-0.81425733 	 -2.02626912
-0.81097403 	 -2.02935289
-0.80769074 	 -2.03235116
-0.80440744 	 -2.03526381
-0.80112415 	 -2.03809072
-0.79784085 	 -2.04083175
-0.79455755 	 -2.04348677
-0.79127426 	 -2.04605562
-0.78799096 	 -2.04853814
-0.78470767 	 -2.05093414
-0.78142437 	 -2.05324343
-0.77814108 	 -2.05546580
-0.77485778 	 -2.05760102
-0.77157448 	 -2.05964884
-0.76829119 	 -2.06160900
-0.76500789 	 -2.06348121
-0.76172460 	 -2.06526515
-0.75844130 	 -2.06696050
-0.75515801 	 -2.06856689
-0.75187471 	 -2.07008395
-0.74859141 	 -2.07151126
-0.74530812 	 -2.07284839
-0.74202482 	 -2.07409486
-0.73874153 	 -2.07525019
-0.73545823 	 -2.07631384
-0.73217494 	 -2.07728526
-0.72889164 	 -2.07816387
-0.72560834 	 -2.07894905
