TMD:	 WSe2 

band  1
-1.26078554 	 -0.44171153
-1.25750224 	 -0.44149717
-1.25421895 	 -0.44100876
-1.25093565 	 -0.44025103
-1.24765236 	 -0.43922992
-1.24436906 	 -0.43795243
-1.24108577 	 -0.43642654
-1.23780247 	 -0.43578432
-1.23451917 	 -0.43941870
-1.23123588 	 -0.44340045
-1.22795258 	 -0.44770094
-1.22466929 	 -0.45229286
-1.22138599 	 -0.45715044
-1.21810270 	 -0.46224964
-1.21481940 	 -0.46756822
-1.21153610 	 -0.47308572
-1.20825281 	 -0.47878345
-1.20496951 	 -0.48464438
-1.20168622 	 -0.49065302
-1.19840292 	 -0.49679533
-1.19511963 	 -0.50305860
-1.19183633 	 -0.50943130
-1.18855304 	 -0.51590300
-1.18526974 	 -0.52246424
-1.18198644 	 -0.52910645
-1.17870315 	 -0.53582184
-1.17541985 	 -0.54260332
-1.17213656 	 -0.54944445
-1.16885326 	 -0.55633935
-1.16556997 	 -0.56328262
-1.16228667 	 -0.57026935
-1.15900337 	 -0.57729500
-1.15572008 	 -0.58435540
-1.15243678 	 -0.59144671
-1.14915349 	 -0.59856538
-1.14587019 	 -0.60570811
-1.14258690 	 -0.61287185
-1.13930360 	 -0.62005375
-1.13602030 	 -0.62725114
-1.13273701 	 -0.63446154
-1.12945371 	 -0.64168262
-1.12617042 	 -0.64891217
-1.12288712 	 -0.65614814
-1.11960383 	 -0.66338857
-1.11632053 	 -0.67063161
-1.11303723 	 -0.67787551
-1.10975394 	 -0.68511862
-1.10647064 	 -0.69235933
-1.10318735 	 -0.69959614
-1.09990405 	 -0.70682760
-1.09662076 	 -0.71405232
-1.09333746 	 -0.72126898
-1.09005416 	 -0.72847630
-1.08677087 	 -0.73567305
-1.08348757 	 -0.74285804
-1.08020428 	 -0.75003014
-1.07692098 	 -0.75718822
-1.07363769 	 -0.76433124
-1.07035439 	 -0.77145814
-1.06707109 	 -0.77856792
-1.06378780 	 -0.78565961
-1.06050450 	 -0.79273225
-1.05722121 	 -0.79978492
-1.05393791 	 -0.80681673
-1.05065462 	 -0.81382680
-1.04737132 	 -0.82081427
-1.04408803 	 -0.82777832
-1.04080473 	 -0.83471812
-1.03752143 	 -0.84163288
-1.03423814 	 -0.84852183
-1.03095484 	 -0.85538421
-1.02767155 	 -0.86221928
-1.02438825 	 -0.86902631
-1.02110496 	 -0.87580460
-1.01782166 	 -0.88255344
-1.01453836 	 -0.88927217
-1.01125507 	 -0.89596012
-1.00797177 	 -0.90261663
-1.00468848 	 -0.90924108
-1.00140518 	 -0.91583283
-0.99812189 	 -0.92239128
-0.99483859 	 -0.92891584
-0.99155529 	 -0.93540593
-0.98827200 	 -0.94186096
-0.98498870 	 -0.94828039
-0.98170541 	 -0.95466368
-0.97842211 	 -0.96101028
-0.97513882 	 -0.96731969
-0.97185552 	 -0.97359138
-0.96857222 	 -0.97982488
-0.96528893 	 -0.98601969
-0.96200563 	 -0.99217534
-0.95872234 	 -0.99829137
-0.95543904 	 -1.00436734
-0.95215575 	 -1.01040281
-0.94887245 	 -1.01639736
-0.94558915 	 -1.02235057
-0.94230586 	 -1.02826203
-0.93902256 	 -1.03413137
-0.93573927 	 -1.03995820
-0.93245597 	 -1.04574215
-0.92917268 	 -1.05148287
-0.92588938 	 -1.05718001
-0.92260609 	 -1.06283324
-0.91932279 	 -1.06844222
-0.91603949 	 -1.07400666
-0.91275620 	 -1.07952624
-0.90947290 	 -1.08500068
-0.90618961 	 -1.09042968
-0.90290631 	 -1.09581298
-0.89962302 	 -1.10115032
-0.89633972 	 -1.10644143
-0.89305642 	 -1.11168609
-0.88977313 	 -1.11688405
-0.88648983 	 -1.12203509
-0.88320654 	 -1.12713899
-0.87992324 	 -1.13219555
-0.87663995 	 -1.13720456
-0.87335665 	 -1.14216584
-0.87007335 	 -1.14707921
-0.86679006 	 -1.15194448
-0.86350676 	 -1.15676148
-0.86022347 	 -1.16153007
-0.85694017 	 -1.16625008
-0.85365688 	 -1.17092137
-0.85037358 	 -1.17554378
-0.84709028 	 -1.18011720
-0.84380699 	 -1.18464148
-0.84052369 	 -1.18911650
-0.83724040 	 -1.19354215
-0.83395710 	 -1.19791829
-0.83067381 	 -1.20224483
-0.82739051 	 -1.20652164
-0.82410721 	 -1.21074863
-0.82082392 	 -1.21492569
-0.81754062 	 -1.21905272
-0.81425733 	 -1.22312962
-0.81097403 	 -1.22715629
-0.80769074 	 -1.23113263
-0.80440744 	 -1.23505855
-0.80112415 	 -1.23893394
-0.79784085 	 -1.24275872
-0.79455755 	 -1.24653279
-0.79127426 	 -1.25025604
-0.78799096 	 -1.25392837
-0.78470767 	 -1.25754968
-0.78142437 	 -1.26111986
-0.77814108 	 -1.26463880
-0.77485778 	 -1.26810640
-0.77157448 	 -1.27152252
-0.76829119 	 -1.27488705
-0.76500789 	 -1.27819986
-0.76172460 	 -1.28146082
-0.75844130 	 -1.28466978
-0.75515801 	 -1.28782659
-0.75187471 	 -1.29093111
-0.74859141 	 -1.29398316
-0.74530812 	 -1.29698258
-0.74202482 	 -1.29992919
-0.73874153 	 -1.30282279
-0.73545823 	 -1.30566319
-0.73217494 	 -1.30845017
-0.72889164 	 -1.31118351
-0.72560834 	 -1.31386298
-0.72232505 	 -1.31648833
-0.71904175 	 -1.31905930
-0.71575846 	 -1.32157561
-0.71247516 	 -1.32403698
-0.70919187 	 -1.32644310
-0.70590857 	 -1.32879366
-0.70262527 	 -1.33108831
-0.69934198 	 -1.33332672
-0.69605868 	 -1.33550850
-0.69277539 	 -1.33763326
-0.68949209 	 -1.33970061
-0.68620880 	 -1.34171011
-0.68292550 	 -1.34366132
-0.67964221 	 -1.34555376
-0.67635891 	 -1.34738695
-0.67307561 	 -1.34916037
-0.66979232 	 -1.35087349
-0.66650902 	 -1.35252574
