TMD:	 WS2 

band  1
-1.31988486 	 -1.07324073
-1.31660157 	 -1.07319207
-1.31331827 	 -1.07330125
-1.31003498 	 -1.07356865
-1.30675168 	 -1.07399457
-1.30346838 	 -1.07457919
-1.30018509 	 -1.07532263
-1.29690179 	 -1.07622492
-1.29361850 	 -1.07728598
-1.29033520 	 -1.07850566
-1.28705191 	 -1.07988373
-1.28376861 	 -1.08141985
-1.28048531 	 -1.08311360
-1.27720202 	 -1.08496450
-1.27391872 	 -1.08697194
-1.27063543 	 -1.08913526
-1.26735213 	 -1.09145370
-1.26406884 	 -1.09392642
-1.26078554 	 -1.09655252
-1.25750224 	 -1.09933099
-1.25421895 	 -1.10226076
-1.25093565 	 -1.10534068
-1.24765236 	 -1.10856952
-1.24436906 	 -1.11194600
-1.24108577 	 -1.11546874
-1.23780247 	 -1.11913632
-1.23451917 	 -1.12294723
-1.23123588 	 -1.12689990
-1.22795258 	 -1.13099273
-1.22466929 	 -1.13522401
-1.22138599 	 -1.13959202
-1.21810270 	 -1.14409495
-1.21481940 	 -1.14873097
-1.21153610 	 -1.15349816
-1.20825281 	 -1.15839460
-1.20496951 	 -1.16341829
-1.20168622 	 -1.16856719
-1.19840292 	 -1.17383925
-1.19511963 	 -1.17923235
-1.19183633 	 -1.18474435
-1.18855304 	 -1.19037308
-1.18526974 	 -1.19611633
-1.18198644 	 -1.20197186
-1.17870315 	 -1.20793742
-1.17541985 	 -1.21401073
-1.17213656 	 -1.22018948
-1.16885326 	 -1.22647135
-1.16556997 	 -1.23285400
-1.16228667 	 -1.23933508
-1.15900337 	 -1.24591222
-1.15572008 	 -1.25258305
-1.15243678 	 -1.25934518
-1.14915349 	 -1.26619621
-1.14587019 	 -1.27313375
-1.14258690 	 -1.28015539
-1.13930360 	 -1.28725874
-1.13602030 	 -1.29444138
-1.13273701 	 -1.30170092
-1.12945371 	 -1.30903495
-1.12617042 	 -1.31644108
-1.12288712 	 -1.32391691
-1.11960383 	 -1.33146007
-1.11632053 	 -1.33906817
-1.11303723 	 -1.34673885
-1.10975394 	 -1.35446975
-1.10647064 	 -1.36225852
-1.10318735 	 -1.37010284
-1.09990405 	 -1.37800037
-1.09662076 	 -1.38594880
-1.09333746 	 -1.39394586
-1.09005416 	 -1.40198925
-1.08677087 	 -1.41007671
-1.08348757 	 -1.41820600
-1.08020428 	 -1.42637490
-1.07692098 	 -1.43458117
-1.07363769 	 -1.44282265
-1.07035439 	 -1.45109714
-1.06707109 	 -1.45940249
-1.06378780 	 -1.46773657
-1.06050450 	 -1.47609726
-1.05722121 	 -1.48448245
-1.05393791 	 -1.49289008
-1.05065462 	 -1.50131808
-1.04737132 	 -1.50976440
-1.04408803 	 -1.51822704
-1.04080473 	 -1.52670399
-1.03752143 	 -1.53519328
-1.03423814 	 -1.54369293
-1.03095484 	 -1.55220102
-1.02767155 	 -1.56071562
-1.02438825 	 -1.56923483
-1.02110496 	 -1.57775676
-1.01782166 	 -1.58627955
-1.01453836 	 -1.59480135
-1.01125507 	 -1.60332034
-1.00797177 	 -1.61183469
-1.00468848 	 -1.62034263
-1.00140518 	 -1.62884235
-0.99812189 	 -1.63733211
-0.99483859 	 -1.64581015
-0.99155529 	 -1.65427474
-0.98827200 	 -1.66272416
-0.98498870 	 -1.67115669
-0.98170541 	 -1.67957063
-0.97842211 	 -1.68796432
-0.97513882 	 -1.69633606
-0.97185552 	 -1.70468419
-0.96857222 	 -1.71300705
-0.96528893 	 -1.72130298
-0.96200563 	 -1.72957035
-0.95872234 	 -1.73780751
-0.95543904 	 -1.74601282
-0.95215575 	 -1.75418465
-0.94887245 	 -1.76232136
-0.94558915 	 -1.77042131
-0.94230586 	 -1.77848287
-0.93902256 	 -1.78650439
-0.93573927 	 -1.79448424
-0.93245597 	 -1.80242075
-0.92917268 	 -1.81031227
-0.92588938 	 -1.81815713
-0.92260609 	 -1.82595365
-0.91932279 	 -1.83370013
-0.91603949 	 -1.84139487
-0.91275620 	 -1.84903614
-0.90947290 	 -1.85662220
-0.90618961 	 -1.86415129
-0.90290631 	 -1.87162161
-0.89962302 	 -1.87903137
-0.89633972 	 -1.88637873
-0.89305642 	 -1.89366183
-0.88977313 	 -1.90087878
-0.88648983 	 -1.90802766
-0.88320654 	 -1.91510652
-0.87992324 	 -1.92211338
-0.87663995 	 -1.92904620
-0.87335665 	 -1.93590294
-0.87007335 	 -1.94268148
-0.86679006 	 -1.94937971
-0.86350676 	 -1.95599543
-0.86022347 	 -1.96252643
-0.85694017 	 -1.96897044
-0.85365688 	 -1.97532515
-0.85037358 	 -1.98158822
-0.84709028 	 -1.98775724
-0.84380699 	 -1.99382978
-0.84052369 	 -1.99980334
-0.83724040 	 -2.00567539
-0.83395710 	 -2.01144337
-0.83067381 	 -2.01710466
-0.82739051 	 -2.02265660
-0.82410721 	 -2.02809650
-0.82082392 	 -2.03342163
-0.81754062 	 -2.03862923
-0.81425733 	 -2.04371651
-0.81097403 	 -2.04868065
-0.80769074 	 -2.05351882
-0.80440744 	 -2.05822817
-0.80112415 	 -2.06280582
-0.79784085 	 -2.06724893
-0.79455755 	 -2.07155462
-0.79127426 	 -2.07572004
-0.78799096 	 -2.07974237
-0.78470767 	 -2.08361879
-0.78142437 	 -2.08734654
-0.77814108 	 -2.09092289
-0.77485778 	 -2.09434517
-0.77157448 	 -2.09761078
-0.76829119 	 -2.10071719
-0.76500789 	 -2.10366198
-0.76172460 	 -2.10644278
-0.75844130 	 -2.10905739
-0.75515801 	 -2.11150369
-0.75187471 	 -2.11377971
-0.74859141 	 -2.11588360
-0.74530812 	 -2.11781371
-0.74202482 	 -2.11956850
-0.73874153 	 -2.12114664
-0.73545823 	 -2.12254697
-0.73217494 	 -2.12376851
-0.72889164 	 -2.12481051
-0.72560834 	 -2.12567238
