TMD:	 WS2 

band  1
-0.66676990 	 -1.07367683
-0.66348658 	 -1.07336308
-0.66020327 	 -1.07320765
-0.65691996 	 -1.07321019
-0.65363664 	 -1.07337026
-0.65035333 	 -1.07368735
-0.64707001 	 -1.07416083
-0.64378670 	 -1.07479004
-0.64050339 	 -1.07557418
-0.63722007 	 -1.07651240
-0.63393676 	 -1.07760378
-0.63065345 	 -1.07884728
-0.62737013 	 -1.08024182
-0.62408682 	 -1.08178623
-0.62080350 	 -1.08347927
-0.61752019 	 -1.08531962
-0.61423688 	 -1.08730590
-0.61095356 	 -1.08943665
-0.60767025 	 -1.09171036
-0.60438694 	 -1.09412544
-0.60110362 	 -1.09668026
-0.59782031 	 -1.09937310
-0.59453699 	 -1.10220222
-0.59125368 	 -1.10516579
-0.58797037 	 -1.10826196
-0.58468705 	 -1.11148881
-0.58140374 	 -1.11484439
-0.57812043 	 -1.11832668
-0.57483711 	 -1.12193364
-0.57155380 	 -1.12566318
-0.56827049 	 -1.12951320
-0.56498717 	 -1.13348152
-0.56170386 	 -1.13756596
-0.55842054 	 -1.14176431
-0.55513723 	 -1.14607433
-0.55185392 	 -1.15049373
-0.54857060 	 -1.15502024
-0.54528729 	 -1.15965155
-0.54200398 	 -1.16438533
-0.53872066 	 -1.16921924
-0.53543735 	 -1.17415092
-0.53215403 	 -1.17917801
-0.52887072 	 -1.18429814
-0.52558741 	 -1.18950892
-0.52230409 	 -1.19480797
-0.51902078 	 -1.20019291
-0.51573747 	 -1.20566135
-0.51245415 	 -1.21121089
-0.50917084 	 -1.21683917
-0.50588752 	 -1.22254379
-0.50260421 	 -1.22832239
-0.49932090 	 -1.23417260
-0.49603758 	 -1.24009207
-0.49275427 	 -1.24607845
-0.48947096 	 -1.25212942
-0.48618764 	 -1.25824266
-0.48290433 	 -1.26441586
-0.47962101 	 -1.27064675
-0.47633770 	 -1.27693305
-0.47305439 	 -1.28327252
-0.46977107 	 -1.28966292
-0.46648776 	 -1.29610207
-0.46320445 	 -1.30258776
-0.45992113 	 -1.30911785
-0.45663782 	 -1.31569019
-0.45335451 	 -1.32230267
-0.45007119 	 -1.32895321
-0.44678788 	 -1.33563976
-0.44350456 	 -1.34236027
-0.44022125 	 -1.34911276
-0.43693794 	 -1.35589525
-0.43365462 	 -1.36270579
-0.43037131 	 -1.36954247
-0.42708800 	 -1.37640342
-0.42380468 	 -1.38328679
-0.42052137 	 -1.39019075
-0.41723805 	 -1.39711353
-0.41395474 	 -1.40405337
-0.41067143 	 -1.41100856
-0.40738811 	 -1.41797742
-0.40410480 	 -1.42495830
-0.40082149 	 -1.43194958
-0.39753817 	 -1.43894970
-0.39425486 	 -1.44595710
-0.39097154 	 -1.45297029
-0.38768823 	 -1.45998780
-0.38440492 	 -1.46700819
-0.38112160 	 -1.47403008
-0.37783829 	 -1.48105210
-0.37455498 	 -1.48807293
-0.37127166 	 -1.49509131
-0.36798835 	 -1.50210598
-0.36470504 	 -1.50911574
-0.36142172 	 -1.51611942
-0.35813841 	 -1.52311590
-0.35485509 	 -1.53010410
-0.35157178 	 -1.53708296
-0.34828847 	 -1.54405147
-0.34500515 	 -1.55100868
-0.34172184 	 -1.55795364
-0.33843853 	 -1.56488548
-0.33515521 	 -1.57180334
-0.33187190 	 -1.57870642
-0.32858858 	 -1.58559394
-0.32530527 	 -1.59246519
-0.32202196 	 -1.59931948
-0.31873864 	 -1.60615616
-0.31545533 	 -1.61297462
-0.31217202 	 -1.61977432
-0.30888870 	 -1.62655472
-0.30560539 	 -1.63331535
-0.30232207 	 -1.64005577
-0.29903876 	 -1.64677559
-0.29575545 	 -1.65347445
-0.29247213 	 -1.66015204
-0.28918882 	 -1.66680808
-0.28590551 	 -1.67344236
-0.28262219 	 -1.68005469
-0.27933888 	 -1.68664492
-0.27605557 	 -1.69321296
-0.27277225 	 -1.69975875
-0.26948894 	 -1.70628227
-0.26620562 	 -1.71278355
-0.26292231 	 -1.71926266
-0.25963900 	 -1.72571972
-0.25635568 	 -1.73215488
-0.25307237 	 -1.73856835
-0.24978906 	 -1.74496036
-0.24650574 	 -1.75133120
-0.24322243 	 -1.75768119
-0.23993911 	 -1.76401072
-0.23665580 	 -1.77032020
-0.23337249 	 -1.77661008
-0.23008917 	 -1.78288087
-0.22680586 	 -1.78913310
-0.22352255 	 -1.79536738
-0.22023923 	 -1.80158431
-0.21695592 	 -1.80778459
-0.21367260 	 -1.81396891
-0.21038929 	 -1.82013805
-0.20710598 	 -1.82629279
-0.20382266 	 -1.83243398
-0.20053935 	 -1.83856251
-0.19725604 	 -1.84467928
-0.19397272 	 -1.85078528
-0.19068941 	 -1.85688151
-0.18740610 	 -1.86296900
-0.18412278 	 -1.86904885
-0.18083947 	 -1.87512219
-0.17755615 	 -1.88119017
-0.17427284 	 -1.88725401
-0.17098953 	 -1.89331493
-0.16770621 	 -1.89937422
-0.16442290 	 -1.90543319
-0.16113959 	 -1.91149319
-0.15785627 	 -1.91755560
-0.15457296 	 -1.92362185
-0.15128964 	 -1.92969338
-0.14800633 	 -1.93577167
-0.14472302 	 -1.94185825
-0.14143970 	 -1.94795464
-0.13815639 	 -1.95406244
-0.13487308 	 -1.96018322
-0.13158976 	 -1.96631863
-0.12830645 	 -1.97247030
-0.12502313 	 -1.97863991
-0.12173982 	 -1.98482915
-0.11845651 	 -1.99103974
-0.11517319 	 -1.99727340
-0.11188988 	 -2.00353187
-0.10860657 	 -2.00981692
-0.10532325 	 -2.01613031
-0.10203994 	 -2.02247381
-0.09875663 	 -2.02884922
-0.09547331 	 -2.03525830
-0.09219000 	 -2.04170286
-0.08890668 	 -2.04818466
-0.08562337 	 -2.05470547
-0.08234006 	 -2.06126707
-0.07905674 	 -2.06787119
-0.07577343 	 -2.07451955
-0.07249012 	 -2.08121385
