TMD:	 WSe2 

band  1
-1.26078554 	 -0.47372741
-1.25750224 	 -0.47384596
-1.25421895 	 -0.47411795
-1.25093565 	 -0.47454346
-1.24765236 	 -0.47512245
-1.24436906 	 -0.47585476
-1.24108577 	 -0.47674010
-1.23780247 	 -0.47777804
-1.23451917 	 -0.47896804
-1.23123588 	 -0.48030942
-1.22795258 	 -0.48180139
-1.22466929 	 -0.48344305
-1.22138599 	 -0.48523337
-1.21810270 	 -0.48717123
-1.21481940 	 -0.48925538
-1.21153610 	 -0.49148448
-1.20825281 	 -0.49385710
-1.20496951 	 -0.49637170
-1.20168622 	 -0.49902667
-1.19840292 	 -0.50182028
-1.19511963 	 -0.50475076
-1.19183633 	 -0.50781625
-1.18855304 	 -0.51101480
-1.18526974 	 -0.51434441
-1.18198644 	 -0.51780303
-1.17870315 	 -0.52138853
-1.17541985 	 -0.52509874
-1.17213656 	 -0.52893144
-1.16885326 	 -0.53288436
-1.16556997 	 -0.53695519
-1.16228667 	 -0.54114161
-1.15900337 	 -0.54544123
-1.15572008 	 -0.54985166
-1.15243678 	 -0.55437047
-1.14915349 	 -0.55899523
-1.14587019 	 -0.56372347
-1.14258690 	 -0.56855273
-1.13930360 	 -0.57348052
-1.13602030 	 -0.57850436
-1.13273701 	 -0.58362176
-1.12945371 	 -0.58883024
-1.12617042 	 -0.59412729
-1.12288712 	 -0.59951045
-1.11960383 	 -0.60497723
-1.11632053 	 -0.61052518
-1.11303723 	 -0.61615183
-1.10975394 	 -0.62185475
-1.10647064 	 -0.62763153
-1.10318735 	 -0.63347974
-1.09990405 	 -0.63939701
-1.09662076 	 -0.64538098
-1.09333746 	 -0.65142929
-1.09005416 	 -0.65753964
-1.08677087 	 -0.66370973
-1.08348757 	 -0.66993730
-1.08020428 	 -0.67622010
-1.07692098 	 -0.68255592
-1.07363769 	 -0.68894258
-1.07035439 	 -0.69537793
-1.06707109 	 -0.70185985
-1.06378780 	 -0.70838625
-1.06050450 	 -0.71495506
-1.05722121 	 -0.72156425
-1.05393791 	 -0.72821184
-1.05065462 	 -0.73489586
-1.04737132 	 -0.74161437
-1.04408803 	 -0.74836548
-1.04080473 	 -0.75514733
-1.03752143 	 -0.76195807
-1.03423814 	 -0.76879591
-1.03095484 	 -0.77565908
-1.02767155 	 -0.78254585
-1.02438825 	 -0.78945451
-1.02110496 	 -0.79638339
-1.01782166 	 -0.80333084
-1.01453836 	 -0.81029526
-1.01125507 	 -0.81727508
-1.00797177 	 -0.82426872
-1.00468848 	 -0.83127469
-1.00140518 	 -0.83829149
-0.99812189 	 -0.84531764
-0.99483859 	 -0.85235173
-0.99155529 	 -0.85939233
-0.98827200 	 -0.86643807
-0.98498870 	 -0.87348759
-0.98170541 	 -0.88053956
-0.97842211 	 -0.88759266
-0.97513882 	 -0.89464561
-0.97185552 	 -0.90169715
-0.96857222 	 -0.90874603
-0.96528893 	 -0.91579103
-0.96200563 	 -0.92283094
-0.95872234 	 -0.92986459
-0.95543904 	 -0.93689079
-0.95215575 	 -0.94390840
-0.94887245 	 -0.95091629
-0.94558915 	 -0.95791332
-0.94230586 	 -0.96489839
-0.93902256 	 -0.97187040
-0.93573927 	 -0.97882826
-0.93245597 	 -0.98577089
-0.92917268 	 -0.99269724
-0.92588938 	 -0.99960622
-0.92260609 	 -1.00649680
-0.91932279 	 -1.01336792
-0.91603949 	 -1.02021854
-0.91275620 	 -1.02704762
-0.90947290 	 -1.03385411
-0.90618961 	 -1.04063698
-0.90290631 	 -1.04739520
-0.89962302 	 -1.05412771
-0.89633972 	 -1.06083349
-0.89305642 	 -1.06751149
-0.88977313 	 -1.07416066
-0.88648983 	 -1.08077995
-0.88320654 	 -1.08736830
-0.87992324 	 -1.09392464
-0.87663995 	 -1.10044790
-0.87335665 	 -1.10693700
-0.87007335 	 -1.11339085
-0.86679006 	 -1.11980834
-0.86350676 	 -1.12618835
-0.86022347 	 -1.13252977
-0.85694017 	 -1.13883146
-0.85365688 	 -1.14509226
-0.85037358 	 -1.15131101
-0.84709028 	 -1.15748653
-0.84380699 	 -1.16361763
-0.84052369 	 -1.16970309
-0.83724040 	 -1.17574168
-0.83395710 	 -1.18173217
-0.83067381 	 -1.18767329
-0.82739051 	 -1.19356378
-0.82410721 	 -1.19940233
-0.82082392 	 -1.20518764
-0.81754062 	 -1.21091839
-0.81425733 	 -1.21659322
-0.81097403 	 -1.22221079
-0.80769074 	 -1.22776970
-0.80440744 	 -1.23326858
-0.80112415 	 -1.23870602
-0.79784085 	 -1.24408059
-0.79455755 	 -1.24939086
-0.79127426 	 -1.25463537
-0.78799096 	 -1.25981267
-0.78470767 	 -1.26492127
-0.78142437 	 -1.26995970
-0.77814108 	 -1.27492646
-0.77485778 	 -1.27982005
-0.77157448 	 -1.28463896
-0.76829119 	 -1.28938167
-0.76500789 	 -1.29404666
-0.76172460 	 -1.29863241
-0.75844130 	 -1.30313740
-0.75515801 	 -1.30756012
-0.75187471 	 -1.31189905
-0.74859141 	 -1.31615267
-0.74530812 	 -1.32031948
-0.74202482 	 -1.32439801
-0.73874153 	 -1.32838676
-0.73545823 	 -1.33228428
-0.73217494 	 -1.33608913
-0.72889164 	 -1.33979987
-0.72560834 	 -1.34341512
-0.72232505 	 -1.34693350
-0.71904175 	 -1.35035367
-0.71575846 	 -1.35367431
-0.71247516 	 -1.35689416
-0.70919187 	 -1.36001197
-0.70590857 	 -1.36302656
-0.70262527 	 -1.36593676
-0.69934198 	 -1.36874147
-0.69605868 	 -1.37143965
-0.69277539 	 -1.37403028
-0.68949209 	 -1.37651242
-0.68620880 	 -1.37888518
-0.68292550 	 -1.38114773
-0.67964221 	 -1.38329931
-0.67635891 	 -1.38533921
-0.67307561 	 -1.38726681
-0.66979232 	 -1.38908154
-0.66650902 	 -1.39078292
