TMD:	 WSe2 

band  1
-0.64311884 	 -0.46532119
-0.64008414 	 -0.46477443
-0.63704944 	 -0.46438165
-0.63401474 	 -0.46414309
-0.63098004 	 -0.46405888
-0.62794534 	 -0.46412901
-0.62491064 	 -0.46435334
-0.62187593 	 -0.46473158
-0.61884123 	 -0.46526334
-0.61580653 	 -0.46594805
-0.61277183 	 -0.46678504
-0.60973713 	 -0.46777350
-0.60670243 	 -0.46891250
-0.60366773 	 -0.47020097
-0.60063303 	 -0.47163772
-0.59759833 	 -0.47322146
-0.59456363 	 -0.47495075
-0.59152893 	 -0.47682407
-0.58849423 	 -0.47883976
-0.58545952 	 -0.48099609
-0.58242482 	 -0.48329121
-0.57939012 	 -0.48572318
-0.57635542 	 -0.48828996
-0.57332072 	 -0.49098944
-0.57028602 	 -0.49381943
-0.56725132 	 -0.49677766
-0.56421662 	 -0.49986179
-0.56118192 	 -0.50306941
-0.55814722 	 -0.50639808
-0.55511252 	 -0.50984527
-0.55207782 	 -0.51340844
-0.54904311 	 -0.51708497
-0.54600841 	 -0.52087223
-0.54297371 	 -0.52476756
-0.53993901 	 -0.52876825
-0.53690431 	 -0.53287159
-0.53386961 	 -0.53707483
-0.53083491 	 -0.54137524
-0.52780021 	 -0.54577006
-0.52476551 	 -0.55025652
-0.52173081 	 -0.55483187
-0.51869611 	 -0.55949335
-0.51566141 	 -0.56423820
-0.51262670 	 -0.56906370
-0.50959200 	 -0.57396711
-0.50655730 	 -0.57894573
-0.50352260 	 -0.58399687
-0.50048790 	 -0.58911788
-0.49745320 	 -0.59430611
-0.49441850 	 -0.59955896
-0.49138380 	 -0.60487385
-0.48834910 	 -0.61024822
-0.48531440 	 -0.61567958
-0.48227970 	 -0.62116544
-0.47924500 	 -0.62670337
-0.47621029 	 -0.63229098
-0.47317559 	 -0.63792589
-0.47014089 	 -0.64360581
-0.46710619 	 -0.64932845
-0.46407149 	 -0.65509159
-0.46103679 	 -0.66089305
-0.45800209 	 -0.66673069
-0.45496739 	 -0.67260242
-0.45193269 	 -0.67850620
-0.44889799 	 -0.68444002
-0.44586329 	 -0.69040194
-0.44282859 	 -0.69639006
-0.43979388 	 -0.70240254
-0.43675918 	 -0.70843755
-0.43372448 	 -0.71449336
-0.43068978 	 -0.72056824
-0.42765508 	 -0.72666056
-0.42462038 	 -0.73276869
-0.42158568 	 -0.73889108
-0.41855098 	 -0.74502622
-0.41551628 	 -0.75117265
-0.41248158 	 -0.75732894
-0.40944688 	 -0.76349374
-0.40641218 	 -0.76966573
-0.40337747 	 -0.77584362
-0.40034277 	 -0.78202621
-0.39730807 	 -0.78821230
-0.39427337 	 -0.79440078
-0.39123867 	 -0.80059055
-0.38820397 	 -0.80678057
-0.38516927 	 -0.81296985
-0.38213457 	 -0.81915743
-0.37909987 	 -0.82534242
-0.37606517 	 -0.83152395
-0.37303047 	 -0.83770119
-0.36999576 	 -0.84387338
-0.36696106 	 -0.85003977
-0.36392636 	 -0.85619968
-0.36089166 	 -0.86235245
-0.35785696 	 -0.86849747
-0.35482226 	 -0.87463417
-0.35178756 	 -0.88076202
-0.34875286 	 -0.88688052
-0.34571816 	 -0.89298922
-0.34268346 	 -0.89908770
-0.33964876 	 -0.90517559
-0.33661406 	 -0.91125253
-0.33357935 	 -0.91731822
-0.33054465 	 -0.92337240
-0.32750995 	 -0.92941481
-0.32447525 	 -0.93544527
-0.32144055 	 -0.94146359
-0.31840585 	 -0.94746964
-0.31537115 	 -0.95346332
-0.31233645 	 -0.95944455
-0.30930175 	 -0.96541329
-0.30626705 	 -0.97136953
-0.30323235 	 -0.97731329
-0.30019765 	 -0.98324460
-0.29716294 	 -0.98916356
-0.29412824 	 -0.99507024
-0.29109354 	 -1.00096480
-0.28805884 	 -1.00684737
-0.28502414 	 -1.01271815
-0.28198944 	 -1.01857733
-0.27895474 	 -1.02442514
-0.27592004 	 -1.03026183
-0.27288534 	 -1.03608768
-0.26985064 	 -1.04190299
-0.26681594 	 -1.04770806
-0.26378124 	 -1.05350323
-0.26074653 	 -1.05928886
-0.25771183 	 -1.06506532
-0.25467713 	 -1.07083299
-0.25164243 	 -1.07659229
-0.24860773 	 -1.08234364
-0.24557303 	 -1.08808746
-0.24253833 	 -1.09382422
-0.23950363 	 -1.09955436
-0.23646893 	 -1.10527837
-0.23343423 	 -1.11099673
-0.23039953 	 -1.11670993
-0.22736483 	 -1.12241846
-0.22433012 	 -1.12812284
-0.22129542 	 -1.13382358
-0.21826072 	 -1.13952119
-0.21522602 	 -1.14521620
-0.21219132 	 -1.15090913
-0.20915662 	 -1.15660049
-0.20612192 	 -1.16229082
-0.20308722 	 -1.16798062
-0.20005252 	 -1.17367041
-0.19701782 	 -1.17936070
-0.19398312 	 -1.18505198
-0.19094842 	 -1.19074475
-0.18791371 	 -1.19643948
-0.18487901 	 -1.20213664
-0.18184431 	 -1.20783667
-0.17880961 	 -1.21354000
-0.17577491 	 -1.21924705
-0.17274021 	 -1.22495819
-0.16970551 	 -1.23067378
-0.16667081 	 -1.23639417
-0.16363611 	 -1.24211963
-0.16060141 	 -1.24785045
-0.15756671 	 -1.25358684
-0.15453201 	 -1.25932898
-0.15149730 	 -1.26507701
-0.14846260 	 -1.27083102
-0.14542790 	 -1.27659105
-0.14239320 	 -1.28235705
-0.13935850 	 -1.28812894
-0.13632380 	 -1.29390657
-0.13328910 	 -1.29968968
-0.13025440 	 -1.30547797
-0.12721970 	 -1.31127102
-0.12418500 	 -1.31706834
-0.12115030 	 -1.32286932
-0.11811560 	 -1.32867325
-0.11508089 	 -1.33447929
-0.11204619 	 -1.34028648
-0.10901149 	 -1.34609371
-0.10597679 	 -1.35189974
-0.10294209 	 -1.35770316
-0.09990739 	 -1.36350238
-0.09687269 	 -1.36929564
-0.09383799 	 -1.37508096
