TMD:	 WS2 

band  1
-1.31988486 	 -1.03335623
-1.31660157 	 -1.03325597
-1.31331827 	 -1.03348196
-1.31003498 	 -1.03403645
-1.30675168 	 -1.03492031
-1.30346838 	 -1.03613302
-1.30018509 	 -1.03767269
-1.29690179 	 -1.03953612
-1.29361850 	 -1.04171892
-1.29033520 	 -1.04421556
-1.28705191 	 -1.04701955
-1.28376861 	 -1.05012357
-1.28048531 	 -1.05351956
-1.27720202 	 -1.05719893
-1.27391872 	 -1.06115263
-1.27063543 	 -1.06537132
-1.26735213 	 -1.06984545
-1.26406884 	 -1.07456540
-1.26078554 	 -1.07952151
-1.25750224 	 -1.08470420
-1.25421895 	 -1.09010402
-1.25093565 	 -1.09571167
-1.24765236 	 -1.10151808
-1.24436906 	 -1.10751441
-1.24108577 	 -1.11369207
-1.23780247 	 -1.12004273
-1.23451917 	 -1.12655837
-1.23123588 	 -1.13323120
-1.22795258 	 -1.14005376
-1.22466929 	 -1.14701880
-1.22138599 	 -1.15411940
-1.21810270 	 -1.16134884
-1.21481940 	 -1.16870070
-1.21153610 	 -1.17616877
-1.20825281 	 -1.18374708
-1.20496951 	 -1.19142987
-1.20168622 	 -1.19921162
-1.19840292 	 -1.20708698
-1.19511963 	 -1.21505081
-1.19183633 	 -1.22309816
-1.18855304 	 -1.23122423
-1.18526974 	 -1.23942441
-1.18198644 	 -1.24769424
-1.17870315 	 -1.25602942
-1.17541985 	 -1.26442579
-1.17213656 	 -1.27287933
-1.16885326 	 -1.28138615
-1.16556997 	 -1.28994250
-1.16228667 	 -1.29854473
-1.15900337 	 -1.30718932
-1.15572008 	 -1.31587288
-1.15243678 	 -1.32459209
-1.14915349 	 -1.33334377
-1.14587019 	 -1.34212481
-1.14258690 	 -1.35093222
-1.13930360 	 -1.35976308
-1.13602030 	 -1.36861457
-1.13273701 	 -1.37748396
-1.12945371 	 -1.38636858
-1.12617042 	 -1.39526588
-1.12288712 	 -1.40417333
-1.11960383 	 -1.41308852
-1.11632053 	 -1.42200909
-1.11303723 	 -1.43093274
-1.10975394 	 -1.43985725
-1.10647064 	 -1.44878045
-1.10318735 	 -1.45770024
-1.09990405 	 -1.46661457
-1.09662076 	 -1.47552145
-1.09333746 	 -1.48441894
-1.09005416 	 -1.49330515
-1.08677087 	 -1.50217823
-1.08348757 	 -1.51103640
-1.08020428 	 -1.51987790
-1.07692098 	 -1.52870102
-1.07363769 	 -1.53750411
-1.07035439 	 -1.54628553
-1.06707109 	 -1.55504369
-1.06378780 	 -1.56377703
-1.06050450 	 -1.57248404
-1.05722121 	 -1.58116322
-1.05393791 	 -1.58981312
-1.05065462 	 -1.59843230
-1.04737132 	 -1.60701936
-1.04408803 	 -1.61557292
-1.04080473 	 -1.62409163
-1.03752143 	 -1.63257416
-1.03423814 	 -1.64101920
-1.03095484 	 -1.64942547
-1.02767155 	 -1.65779169
-1.02438825 	 -1.66611661
-1.02110496 	 -1.67439900
-1.01782166 	 -1.68263763
-1.01453836 	 -1.69083132
-1.01125507 	 -1.69897886
-1.00797177 	 -1.70707908
-1.00468848 	 -1.71513080
-1.00140518 	 -1.72313289
-0.99812189 	 -1.73108417
-0.99483859 	 -1.73898353
-0.99155529 	 -1.74682983
-0.98827200 	 -1.75462194
-0.98498870 	 -1.76235876
-0.98170541 	 -1.77003916
-0.97842211 	 -1.77766205
-0.97513882 	 -1.78522632
-0.97185552 	 -1.79273087
-0.96857222 	 -1.80017461
-0.96528893 	 -1.80755645
-0.96200563 	 -1.81487530
-0.95872234 	 -1.82213006
-0.95543904 	 -1.82931966
-0.95215575 	 -1.83644301
-0.94887245 	 -1.84349901
-0.94558915 	 -1.85048659
-0.94230586 	 -1.85740467
-0.93902256 	 -1.86425214
-0.93573927 	 -1.87102793
-0.93245597 	 -1.87773096
-0.92917268 	 -1.88436012
-0.92588938 	 -1.89091434
-0.92260609 	 -1.89739253
-0.91932279 	 -1.90379358
-0.91603949 	 -1.91011642
-0.91275620 	 -1.91635994
-0.90947290 	 -1.92252306
-0.90618961 	 -1.92860467
-0.90290631 	 -1.93460369
-0.89962302 	 -1.94051901
-0.89633972 	 -1.94634954
-0.89305642 	 -1.95209418
-0.88977313 	 -1.95775184
-0.88648983 	 -1.96332142
-0.88320654 	 -1.96880182
-0.87992324 	 -1.97419195
-0.87663995 	 -1.97949072
-0.87335665 	 -1.98469703
-0.87007335 	 -1.98980981
-0.86679006 	 -1.99482796
-0.86350676 	 -1.99975041
-0.86022347 	 -2.00457608
-0.85694017 	 -2.00930389
-0.85365688 	 -2.01393279
-0.85037358 	 -2.01846171
-0.84709028 	 -2.02288960
-0.84380699 	 -2.02721542
-0.84052369 	 -2.03143813
-0.83724040 	 -2.03555670
-0.83395710 	 -2.03957013
-0.83067381 	 -2.04347739
-0.82739051 	 -2.04727751
-0.82410721 	 -2.05096951
-0.82082392 	 -2.05455241
-0.81754062 	 -2.05802527
-0.81425733 	 -2.06138715
-0.81097403 	 -2.06463714
-0.80769074 	 -2.06777435
-0.80440744 	 -2.07079788
-0.80112415 	 -2.07370689
-0.79784085 	 -2.07650053
-0.79455755 	 -2.07917800
-0.79127426 	 -2.08173850
-0.78799096 	 -2.08418128
-0.78470767 	 -2.08650558
-0.78142437 	 -2.08871071
-0.77814108 	 -2.09079597
-0.77485778 	 -2.09276073
-0.77157448 	 -2.09460436
-0.76829119 	 -2.09632627
-0.76500789 	 -2.09792591
-0.76172460 	 -2.09940277
-0.75844130 	 -2.10075635
-0.75515801 	 -2.10198622
-0.75187471 	 -2.10309196
-0.74859141 	 -2.10407322
-0.74530812 	 -2.10492966
-0.74202482 	 -2.10566100
-0.73874153 	 -2.10626700
-0.73545823 	 -2.10674746
-0.73217494 	 -2.10710223
-0.72889164 	 -2.10733121
-0.72560834 	 -2.10743432
