TMD:	 WS2 

band  1
-0.66676990 	 -1.03426091
-0.66348658 	 -1.03361010
-0.66020327 	 -1.03328819
-0.65691996 	 -1.03329333
-0.65363664 	 -1.03362230
-0.65035333 	 -1.03427056
-0.64707001 	 -1.03523233
-0.64378670 	 -1.03650074
-0.64050339 	 -1.03806790
-0.63722007 	 -1.03992510
-0.63393676 	 -1.04206291
-0.63065345 	 -1.04447134
-0.62737013 	 -1.04714002
-0.62408682 	 -1.05005827
-0.62080350 	 -1.05321530
-0.61752019 	 -1.05660024
-0.61423688 	 -1.06020230
-0.61095356 	 -1.06401080
-0.60767025 	 -1.06801529
-0.60438694 	 -1.07220554
-0.60110362 	 -1.07657162
-0.59782031 	 -1.08110392
-0.59453699 	 -1.08579316
-0.59125368 	 -1.09063043
-0.58797037 	 -1.09560715
-0.58468705 	 -1.10071511
-0.58140374 	 -1.10594642
-0.57812043 	 -1.11129358
-0.57483711 	 -1.11674937
-0.57155380 	 -1.12230693
-0.56827049 	 -1.12795970
-0.56498717 	 -1.13370139
-0.56170386 	 -1.13952603
-0.55842054 	 -1.14542789
-0.55513723 	 -1.15140152
-0.55185392 	 -1.15744169
-0.54857060 	 -1.16354342
-0.54528729 	 -1.16970196
-0.54200398 	 -1.17591275
-0.53872066 	 -1.18217144
-0.53543735 	 -1.18847386
-0.53215403 	 -1.19481605
-0.52887072 	 -1.20119421
-0.52558741 	 -1.20760468
-0.52230409 	 -1.21404400
-0.51902078 	 -1.22050885
-0.51573747 	 -1.22699604
-0.51245415 	 -1.23350254
-0.50917084 	 -1.24002544
-0.50588752 	 -1.24656198
-0.50260421 	 -1.25310950
-0.49932090 	 -1.25966549
-0.49603758 	 -1.26622752
-0.49275427 	 -1.27279331
-0.48947096 	 -1.27936066
-0.48618764 	 -1.28592750
-0.48290433 	 -1.29249184
-0.47962101 	 -1.29905180
-0.47633770 	 -1.30560559
-0.47305439 	 -1.31215154
-0.46977107 	 -1.31868802
-0.46648776 	 -1.32521354
-0.46320445 	 -1.33172666
-0.45992113 	 -1.33822604
-0.45663782 	 -1.34471043
-0.45335451 	 -1.35117863
-0.45007119 	 -1.35762955
-0.44678788 	 -1.36406215
-0.44350456 	 -1.37047547
-0.44022125 	 -1.37686864
-0.43693794 	 -1.38324084
-0.43365462 	 -1.38959132
-0.43037131 	 -1.39591941
-0.42708800 	 -1.40222448
-0.42380468 	 -1.40850600
-0.42052137 	 -1.41476347
-0.41723805 	 -1.42099647
-0.41395474 	 -1.42720464
-0.41067143 	 -1.43338766
-0.40738811 	 -1.43954530
-0.40410480 	 -1.44567734
-0.40082149 	 -1.45178367
-0.39753817 	 -1.45786419
-0.39425486 	 -1.46391888
-0.39097154 	 -1.46994776
-0.38768823 	 -1.47595089
-0.38440492 	 -1.48192842
-0.38112160 	 -1.48788051
-0.37783829 	 -1.49380737
-0.37455498 	 -1.49970930
-0.37127166 	 -1.50558659
-0.36798835 	 -1.51143962
-0.36470504 	 -1.51726879
-0.36142172 	 -1.52307457
-0.35813841 	 -1.52885744
-0.35485509 	 -1.53461795
-0.35157178 	 -1.54035668
-0.34828847 	 -1.54607426
-0.34500515 	 -1.55177137
-0.34172184 	 -1.55744871
-0.33843853 	 -1.56310702
-0.33515521 	 -1.56874711
-0.33187190 	 -1.57436980
-0.32858858 	 -1.57997595
-0.32530527 	 -1.58556648
-0.32202196 	 -1.59114233
-0.31873864 	 -1.59670448
-0.31545533 	 -1.60225395
-0.31217202 	 -1.60779179
-0.30888870 	 -1.61331910
-0.30560539 	 -1.61883699
-0.30232207 	 -1.62434663
-0.29903876 	 -1.62984920
-0.29575545 	 -1.63534594
-0.29247213 	 -1.64083811
-0.28918882 	 -1.64632699
-0.28590551 	 -1.65181391
-0.28262219 	 -1.65730021
-0.27933888 	 -1.66278730
-0.27605557 	 -1.66827657
-0.27277225 	 -1.67376947
-0.26948894 	 -1.67926746
-0.26620562 	 -1.68477206
-0.26292231 	 -1.69028477
-0.25963900 	 -1.69580715
-0.25635568 	 -1.70134077
-0.25307237 	 -1.70688724
-0.24978906 	 -1.71244816
-0.24650574 	 -1.71802519
-0.24322243 	 -1.72361998
-0.23993911 	 -1.72923421
-0.23665580 	 -1.73486960
-0.23337249 	 -1.74052785
-0.23008917 	 -1.74621070
-0.22680586 	 -1.75191989
-0.22352255 	 -1.75765719
-0.22023923 	 -1.76342438
-0.21695592 	 -1.76922322
-0.21367260 	 -1.77505552
-0.21038929 	 -1.78092307
-0.20710598 	 -1.78682767
-0.20382266 	 -1.79277113
-0.20053935 	 -1.79875525
-0.19725604 	 -1.80478184
-0.19397272 	 -1.81085271
-0.19068941 	 -1.81696963
-0.18740610 	 -1.82313442
-0.18412278 	 -1.82934883
-0.18083947 	 -1.83561464
-0.17755615 	 -1.84193360
-0.17427284 	 -1.84830744
-0.17098953 	 -1.85473787
-0.16770621 	 -1.86122657
-0.16442290 	 -1.86777520
-0.16113959 	 -1.87438539
-0.15785627 	 -1.88105874
-0.15457296 	 -1.88779680
-0.15128964 	 -1.89460107
-0.14800633 	 -1.90147303
-0.14472302 	 -1.90841410
-0.14143970 	 -1.91542563
-0.13815639 	 -1.92250892
-0.13487308 	 -1.92966522
-0.13158976 	 -1.93689567
-0.12830645 	 -1.94420138
-0.12502313 	 -1.95158335
-0.12173982 	 -1.95904249
-0.11845651 	 -1.96657962
-0.11517319 	 -1.97419544
-0.11188988 	 -1.98189056
-0.10860657 	 -1.98966545
-0.10532325 	 -1.99752044
-0.10203994 	 -2.00545573
-0.09875663 	 -2.01347136
-0.09547331 	 -2.02156718
-0.09219000 	 -2.02974288
-0.08890668 	 -2.03799791
-0.08562337 	 -2.04633154
-0.08234006 	 -2.05474277
-0.07905674 	 -2.06323032
-0.07577343 	 -2.07179264
-0.07249012 	 -2.08042786
