TMD:	 WSe2 

band  1
-1.26078554 	 -0.43394085
-1.25750224 	 -0.43408917
-1.25421895 	 -0.43442841
-1.25093565 	 -0.43495843
-1.24765236 	 -0.43568009
-1.24436906 	 -0.43659527
-1.24108577 	 -0.43770677
-1.23780247 	 -0.43901826
-1.23451917 	 -0.44053422
-1.23123588 	 -0.44225973
-1.22795258 	 -0.44420040
-1.22466929 	 -0.44636209
-1.22138599 	 -0.44875075
-1.21810270 	 -0.45137217
-1.21481940 	 -0.45423172
-1.21153610 	 -0.45733409
-1.20825281 	 -0.46068308
-1.20496951 	 -0.46428138
-1.20168622 	 -0.46813037
-1.19840292 	 -0.47222999
-1.19511963 	 -0.47657872
-1.19183633 	 -0.48117350
-1.18855304 	 -0.48600982
-1.18526974 	 -0.49108177
-1.18198644 	 -0.49638225
-1.17870315 	 -0.50190307
-1.17541985 	 -0.50763518
-1.17213656 	 -0.51356883
-1.16885326 	 -0.51969381
-1.16556997 	 -0.52599958
-1.16228667 	 -0.53247548
-1.15900337 	 -0.53911083
-1.15572008 	 -0.54589506
-1.15243678 	 -0.55281783
-1.14915349 	 -0.55986907
-1.14587019 	 -0.56703907
-1.14258690 	 -0.57431849
-1.13930360 	 -0.58169839
-1.13602030 	 -0.58917027
-1.13273701 	 -0.59672603
-1.12945371 	 -0.60435802
-1.12617042 	 -0.61205897
-1.12288712 	 -0.61982203
-1.11960383 	 -0.62764071
-1.11632053 	 -0.63550892
-1.11303723 	 -0.64342088
-1.10975394 	 -0.65137116
-1.10647064 	 -0.65935462
-1.10318735 	 -0.66736642
-1.09990405 	 -0.67540199
-1.09662076 	 -0.68345702
-1.09333746 	 -0.69152743
-1.09005416 	 -0.69960935
-1.08677087 	 -0.70769914
-1.08348757 	 -0.71579334
-1.08020428 	 -0.72388867
-1.07692098 	 -0.73198204
-1.07363769 	 -0.74007049
-1.07035439 	 -0.74815122
-1.06707109 	 -0.75622158
-1.06378780 	 -0.76427904
-1.06050450 	 -0.77232119
-1.05722121 	 -0.78034574
-1.05393791 	 -0.78835051
-1.05065462 	 -0.79633343
-1.04737132 	 -0.80429250
-1.04408803 	 -0.81222584
-1.04080473 	 -0.82013165
-1.03752143 	 -0.82800819
-1.03423814 	 -0.83585383
-1.03095484 	 -0.84366699
-1.02767155 	 -0.85144616
-1.02438825 	 -0.85918992
-1.02110496 	 -0.86689688
-1.01782166 	 -0.87456574
-1.01453836 	 -0.88219523
-1.01125507 	 -0.88978416
-1.00797177 	 -0.89733136
-1.00468848 	 -0.90483575
-1.00140518 	 -0.91229627
-0.99812189 	 -0.91971192
-0.99483859 	 -0.92708171
-0.99155529 	 -0.93440475
-0.98827200 	 -0.94168013
-0.98498870 	 -0.94890702
-0.98170541 	 -0.95608461
-0.97842211 	 -0.96321212
-0.97513882 	 -0.97028882
-0.97185552 	 -0.97731399
-0.96857222 	 -0.98428696
-0.96528893 	 -0.99120709
-0.96200563 	 -0.99807375
-0.95872234 	 -1.00488635
-0.95543904 	 -1.01164433
-0.95215575 	 -1.01834714
-0.94887245 	 -1.02499428
-0.94558915 	 -1.03158524
-0.94230586 	 -1.03811955
-0.93902256 	 -1.04459677
-0.93573927 	 -1.05101646
-0.93245597 	 -1.05737821
-0.92917268 	 -1.06368164
-0.92588938 	 -1.06992636
-0.92260609 	 -1.07611202
-0.91932279 	 -1.08223828
-0.91603949 	 -1.08830482
-0.91275620 	 -1.09431133
-0.90947290 	 -1.10025750
-0.90618961 	 -1.10614306
-0.90290631 	 -1.11196775
-0.89962302 	 -1.11773129
-0.89633972 	 -1.12343346
-0.89305642 	 -1.12907402
-0.88977313 	 -1.13465274
-0.88648983 	 -1.14016943
-0.88320654 	 -1.14562387
-0.87992324 	 -1.15101588
-0.87663995 	 -1.15634528
-0.87335665 	 -1.16161189
-0.87007335 	 -1.16681555
-0.86679006 	 -1.17195611
-0.86350676 	 -1.17703342
-0.86022347 	 -1.18204734
-0.85694017 	 -1.18699773
-0.85365688 	 -1.19188448
-0.85037358 	 -1.19670746
-0.84709028 	 -1.20146656
-0.84380699 	 -1.20616167
-0.84052369 	 -1.21079270
-0.83724040 	 -1.21535955
-0.83395710 	 -1.21986212
-0.83067381 	 -1.22430035
-0.82739051 	 -1.22867415
-0.82410721 	 -1.23298344
-0.82082392 	 -1.23722816
-0.81754062 	 -1.24140824
-0.81425733 	 -1.24552364
-0.81097403 	 -1.24957428
-0.80769074 	 -1.25356013
-0.80440744 	 -1.25748114
-0.80112415 	 -1.26133726
-0.79784085 	 -1.26512847
-0.79455755 	 -1.26885472
-0.79127426 	 -1.27251599
-0.78799096 	 -1.27611225
-0.78470767 	 -1.27964349
-0.78142437 	 -1.28310968
-0.77814108 	 -1.28651082
-0.77485778 	 -1.28984688
-0.77157448 	 -1.29311788
-0.76829119 	 -1.29632379
-0.76500789 	 -1.29946463
-0.76172460 	 -1.30254040
-0.75844130 	 -1.30555110
-0.75515801 	 -1.30849675
-0.75187471 	 -1.31137735
-0.74859141 	 -1.31419293
-0.74530812 	 -1.31694351
-0.74202482 	 -1.31962909
-0.73874153 	 -1.32224972
-0.73545823 	 -1.32480540
-0.73217494 	 -1.32729618
-0.72889164 	 -1.32972208
-0.72560834 	 -1.33208313
-0.72232505 	 -1.33437937
-0.71904175 	 -1.33661082
-0.71575846 	 -1.33877751
-0.71247516 	 -1.34087949
-0.70919187 	 -1.34291678
-0.70590857 	 -1.34488941
-0.70262527 	 -1.34679741
-0.69934198 	 -1.34864080
-0.69605868 	 -1.35041962
-0.69277539 	 -1.35213387
-0.68949209 	 -1.35378358
-0.68620880 	 -1.35536875
-0.68292550 	 -1.35688939
-0.67964221 	 -1.35834549
-0.67635891 	 -1.35973703
-0.67307561 	 -1.36106399
-0.66979232 	 -1.36232634
-0.66650902 	 -1.36352403
